中国中央电视台,#genre#
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,https://iptv.luas.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/e0eea3f2cd-0-0-7b16046e28b9e794d06c5fbcc82d37b9/index.m3u8
CCTV2,https://iptv.luas.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/877097d2fa-0-0-b7736e6941fd5cb71f45ef9397b68092/index.m3u8
CCTV3,https://iptv.luas.edu.cn/liverespath/f76f9947c68be18d7a456e25aa59a08c5747e6a5/0df24da9ec-0-0-dca40ddadd2a051ce1a83536d9310820/index.m3u8
CCTV4,https://iptv.luas.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/0baa43f537-0-0-5bc4eda6a2031a1140906b86d867a79e/index.m3u8
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6,https://iptv.luas.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/113ed89f48-0-0-85216e55861329ec31ba1437a2ff37c9/index.m3u8
CCTV6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV8,https://iptv.luas.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/cae4471c68-0-0-316245c664c3311072c7279ec29672fe/index.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,https://iptv.luas.edu.cn/liverespath/924e6292a0e6f7440e8380075908fed9915b3c00/780499a193-0-0-c50d57fd93cf32a5144ec8d889eb3ed9/index.m3u8
CCTV11,https://iptv.luas.edu.cn/liverespath/3d0aa0f1604f13f0ae90c2dc0590ca22a1bcaaa2/646e868153-0-0-a53121a1df5b93a74d1980270e652878/index.m3u8
CCTV12,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/e2d8885f42-0-0-6e1f55986652ba786606a116c5cc0775/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV14,https://iptv.luas.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/0ef01acfdb-0-0-3c10e95bcde07ba14f0f93a8d831b684/index.m3u8
CCTV15,https://iptv.luas.edu.cn/liverespath/59c02d176e7c3b05a62a9bb42be1ca2a92df2e1c/aefabb5259-0-0-65038e86b205c58b18c0c661afd99fae/index.m3u8
地方卫视,#genre#
浙江卫视,https://iptv.luas.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/a2d2162784-0-0-56b13eabd03cd0ff33e9bc019e1fb073/index.m3u8
浙江新闻,http://183.134.3.22:8888/newlive/live/hls/52/live.m3u8
浙江钱江,http://183.134.3.22:8888/newlive/live/hls/50/live.m3u8
浙江经济,http://183.134.3.22:8888/newlive/live/hls/51/live.m3u8
浙江66,http://183.134.3.22:8888/newlive/live/hls/53/live.m3u8
NEW,#genre#
C1,http://183.134.3.22:8888/newlive/live/hls/2/live.m3u8
C3,http://183.134.3.22:8888/newlive/live/hls/3/live.m3u8
C4,http://183.134.3.22:8888/newlive/live/hls/4/live.m3u8
C5,http://183.134.3.22:8888/newlive/live/hls/5/live.m3u8
C6,http://183.134.3.22:8888/newlive/live/hls/6/live.m3u8
C7,http://183.134.3.22:8888/newlive/live/hls/7/live.m3u8
8,http://183.134.3.22:8888/newlive/live/hls/8/live.m3u8
9,http://183.134.3.22:8888/newlive/live/hls/9/live.m3u8
10,http://183.134.3.22:8888/newlive/live/hls/10/live.m3u8
11,http://183.134.3.22:8888/newlive/live/hls/11/live.m3u8
12,http://183.134.3.22:8888/newlive/live/hls/12/live.m3u8
13,http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8
14,http://183.134.3.22:8888/newlive/live/hls/14/live.m3u8
15,http://183.134.3.22:8888/newlive/live/hls/15/live.m3u8
16,http://183.134.3.22:8888/newlive/live/hls/16/live.m3u8
17,http://183.134.3.22:8888/newlive/live/hls/17/live.m3u8
18,http://183.134.3.22:8888/newlive/live/hls/18/live.m3u8
19,http://183.134.3.22:8888/newlive/live/hls/19/live.m3u8
20,http://183.134.3.22:8888/newlive/live/hls/20/live.m3u8
21,http://183.134.3.22:8888/newlive/live/hls/21/live.m3u8
22,http://183.134.3.22:8888/newlive/live/hls/21/live.m3u8
23,http://183.134.3.22:8888/newlive/live/hls/21/live.m3u8
24,http://183.134.3.22:8888/newlive/live/hls/21/live.m3u8







